#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.27
2,1000,0.44,4.55
4,1000,0.44,9.08
8,1000,0.44,18.15
16,1000,0.44,36.32
32,1000,0.48,66.38
64,1000,0.48,132.62
128,1000,0.60,213.49
256,1000,0.63,405.23
512,1000,0.86,595.73
1024,1000,0.92,1111.94
2048,1000,1.11,1836.87
4096,1000,1.49,2757.54
8192,1000,2.05,3994.94
16384,1000,3.30,4957.65
32768,1000,5.19,6318.68
65536,640,9.44,6939.74
131072,320,18.22,7192.41
262144,160,35.23,7441.59
524288,80,84.73,6188.06
1048576,40,184.53,5682.42
2097152,20,390.86,5365.54
4194304,10,868.41,4829.84
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.24
2,1000,0.44,4.50
4,1000,0.45,8.94
8,1000,0.45,17.88
16,1000,0.45,35.87
32,1000,0.49,64.68
64,1000,0.49,130.47
128,1000,0.60,211.71
256,1000,0.64,399.09
512,1000,0.86,598.23
1024,1000,0.93,1101.73
2048,1000,1.10,1866.14
4096,1000,1.52,2703.58
8192,1000,2.03,4028.55
16384,1000,3.32,4929.08
32768,1000,5.25,6241.68
65536,640,9.52,6887.55
131072,320,18.42,7117.18
262144,160,35.60,7363.33
524288,80,87.21,6011.90
1048576,40,192.26,5453.91
2097152,20,405.61,5170.41
4194304,10,886.41,4731.76
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.43,4.63
4,1000,0.44,9.19
8,1000,0.43,18.50
16,1000,0.43,37.20
32,1000,0.46,69.37
64,1000,0.47,137.01
128,1000,0.57,223.85
256,1000,0.61,421.30
512,1000,0.83,618.38
1024,1000,0.89,1150.75
2048,1000,1.06,1934.14
4096,1000,1.52,2697.18
8192,1000,1.98,4136.22
16384,1000,3.30,4970.47
32768,1000,5.07,6462.53
65536,640,9.28,7062.23
131072,320,17.85,7342.62
262144,160,34.23,7657.78
524288,80,82.62,6345.93
1048576,40,167.76,6250.46
